id,user_id,filter_key,value,result_count,created_at,session_id
600f358a-b734-4cc3-ab50-3fd713d40a8b,743aae1e-e024-4953-a3ae-1413333f514f,same_nationality,on,5,2024-10-19T06:03:48+00:00,a1433e86-62b7-539e-8514-4aa766b4d840
657ce2de-e9c6-443f-a41d-b8c470e5e794,743aae1e-e024-4953-a3ae-1413333f514f,same_nationality,off,41,2024-10-19T06:10:42+00:00,a1433e86-62b7-539e-8514-4aa766b4d840
ed10f849-801c-4d02-9347-0c4803da93bd,743aae1e-e024-4953-a3ae-1413333f514f,category,bikes_transport,3,2024-10-19T06:14:04+00:00,a1433e86-62b7-539e-8514-4aa766b4d840
930eab1e-9ad8-434f-9d7b-df95315f8659,71938832-5c59-49e3-be85-9acbd7ca55ba,condition,like_new,9,2024-10-26T23:34:23+00:00,01e6d638-65f5-5402-a52d-98d7ea90f2cd
e5a3903e-f220-4caa-89c8-8fba0e5458af,71938832-5c59-49e3-be85-9acbd7ca55ba,condition,(cleared),26,2024-10-26T23:18:59+00:00,01e6d638-65f5-5402-a52d-98d7ea90f2cd
5362f75a-7e25-4c9c-a27e-e66402ef1b79,ec6a23be-ddf8-411b-a001-feea58a50c51,same_school,on,4,2024-11-28T18:25:09+00:00,a7fcad76-862f-56ff-9193-6bc29e607682
ba107ba6-7cb0-46e8-975f-e1e825c8c4b8,ec6a23be-ddf8-411b-a001-feea58a50c51,same_nationality,on,2,2024-11-28T18:12:34+00:00,a7fcad76-862f-56ff-9193-6bc29e607682
0531957c-a900-4d01-94e6-4895f7628529,ec6a23be-ddf8-411b-a001-feea58a50c51,category,free_stuff,0,2024-11-28T18:13:59+00:00,a7fcad76-862f-56ff-9193-6bc29e607682
fd00ff39-b120-4fc1-b88f-36db6d53acda,2ba2f93e-b90a-4582-9c0b-561477ec2dd4,same_zip,on,0,2024-11-23T22:26:06+00:00,0395a11c-83a2-5b00-aff3-c982c0deb58d
8a5cd0fe-74a7-4836-9ae4-1574691c65d7,2ba2f93e-b90a-4582-9c0b-561477ec2dd4,condition,used_good,0,2024-11-23T22:21:20+00:00,0395a11c-83a2-5b00-aff3-c982c0deb58d
1a0ec846-3c9f-4a9c-9118-72f55ef23c84,2ba2f93e-b90a-4582-9c0b-561477ec2dd4,same_zip,off,16,2024-11-23T22:33:47+00:00,0395a11c-83a2-5b00-aff3-c982c0deb58d
b189c922-45d2-4e5d-a7bd-ff0ebbdcfa33,819e531a-e9e2-4d6e-92fc-0f0bf2f0f251,condition,used_fair,2,2024-11-23T03:24:37+00:00,98a66300-ce81-5870-aed0-7340ae693cd8
3b111657-b879-4955-b641-6fa9a98ac708,819e531a-e9e2-4d6e-92fc-0f0bf2f0f251,same_school,on,0,2024-11-23T03:21:04+00:00,98a66300-ce81-5870-aed0-7340ae693cd8
c20155be-2503-409f-b3f3-4d49520480e8,819e531a-e9e2-4d6e-92fc-0f0bf2f0f251,same_school,off,2,2024-11-23T03:20:25+00:00,98a66300-ce81-5870-aed0-7340ae693cd8
7eeb06ef-dbda-4574-8462-5df1def4af7f,819e531a-e9e2-4d6e-92fc-0f0bf2f0f251,same_zip,on,0,2024-11-23T03:12:24+00:00,98a66300-ce81-5870-aed0-7340ae693cd8
d079f6d8-98e7-4269-ac85-98e06ae56436,743aae1e-e024-4953-a3ae-1413333f514f,category,bikes_transport,3,2024-11-24T10:44:35+00:00,067090c3-424c-56f2-a15f-0e086db635e7
61a2d7c2-1395-476e-beec-af4bd519c9fa,743aae1e-e024-4953-a3ae-1413333f514f,same_nationality,on,0,2024-11-24T10:38:32+00:00,067090c3-424c-56f2-a15f-0e086db635e7
dc1c0ec2-e50b-4a95-95e3-7053d9a64186,743aae1e-e024-4953-a3ae-1413333f514f,category,"bikes_transport,sports",0,2024-11-24T10:45:08+00:00,067090c3-424c-56f2-a15f-0e086db635e7
2865a2c6-23d2-4161-9811-548cd63281e3,743aae1e-e024-4953-a3ae-1413333f514f,same_school,on,0,2024-11-24T10:35:23+00:00,067090c3-424c-56f2-a15f-0e086db635e7
