id,listing_id,buyer_id,channel,created_at,session_id
5d3ee35f-4822-4897-b753-5cf71dbdae0c,a952b715-e955-4b90-b084-76606e06168c,27de1447-4949-4ba1-94da-511dcf33e97a,sms,2024-08-22T18:14:58+00:00,2c185314-753a-51e8-8fe3-0a3e5d24b9b7
6430d5e6-bcb2-45d0-977f-59a13c661c06,c8dbd23c-3889-4464-8a6e-07e37ce82210,34441c15-0467-4b92-b3ab-8deb1054c830,email,2024-09-12T19:14:19+00:00,3b9d81af-f437-5ef0-9fef-b0c39069cd4e
157e218b-8c6e-4269-88c3-6243f6ec05b5,c8dbd23c-3889-4464-8a6e-07e37ce82210,5d717b99-735c-4981-87a3-225adde8acea,email,2024-10-08T21:33:59+00:00,98a556c4-8916-5c00-94b1-180e0b796dbc
ade0f664-5f8b-4833-9277-100e15967804,9e8ea95e-c080-4bfe-862d-dcaae6051c60,04ef5bae-6f20-43c1-84c2-80053a99d1b1,sms,2024-08-27T10:43:16+00:00,0c2da10e-53b7-547f-8f9d-6219dc9edd45
24017b17-ad2d-4563-b39c-9e9832914794,9e8ea95e-c080-4bfe-862d-dcaae6051c60,128acef2-f235-4b4f-9ba9-12cf0271ac50,email,2024-08-29T12:44:47+00:00,01918bf9-7468-5f6b-bbb8-77ee7c2f12db
f677dfaf-460b-4e32-8a89-ee1f6567e1d7,616b516d-4075-42f6-82eb-2cbbe49566cf,128acef2-f235-4b4f-9ba9-12cf0271ac50,email,2025-05-05T04:06:56+00:00,b309c864-c1ba-5e31-9e1f-580b21b8d2b5
65fc5015-8946-4328-bc86-e242e5a9a7ae,616b516d-4075-42f6-82eb-2cbbe49566cf,a14d5a0d-9ddc-4170-a239-6044cb65462e,sms,2026-03-28T00:08:46+00:00,a3c526ca-2c0c-5f9d-afab-b835daa88c9f
5801396f-bf3d-43c2-8b2c-ad3a70d1f5f5,616b516d-4075-42f6-82eb-2cbbe49566cf,cbcba9e3-129e-437d-adc8-13aae5e788ac,email,2024-11-25T20:52:29+00:00,587f3bb8-8970-51c7-80fd-e5dc665f89e2
c6e75eb9-323e-4e16-ad75-8e7d59b7de67,616b516d-4075-42f6-82eb-2cbbe49566cf,42ddf256-149e-4757-b88b-4e24c8e6cb76,sms,2026-05-20T04:20:12+00:00,fb97aabd-67b2-5551-91a3-3413677542d0
e2c4d686-5df5-4e4d-8031-c46767011a88,9396657e-443a-4190-a8ad-4c2449ed5cf7,9fa1bd7e-fe95-4d72-89e0-17853678fb5b,email,2024-09-25T17:47:50+00:00,ef39a0bc-3404-550c-8404-029ee057154f
