id,user_id,session_id,query,result_count,clicked_listing_id,created_at
bf0ada68-9ec3-41c2-b6b6-657e54daed11,5d717b99-735c-4981-87a3-225adde8acea,e0ea1391-3e02-551c-b107-de4eace1e548,ipad,18,cfe33713-7c33-4ac5-9d15-95e76645c422,2024-09-14T02:46:37+00:00
c76f3da2-01aa-4510-a20d-d9a779b88a54,f79de4b1-f0cc-45e9-85c3-b3112725fde1,7cc2e14b-3d62-5fc8-9472-65b636cee88c,ps5,0,,2024-09-19T04:23:22+00:00
11e034db-b984-44e5-bb89-f5618305e0f1,6eaf2004-a475-4bbd-b327-ceb492d267a7,ea7a5080-a5c9-5b8a-8557-0b7fcccb5f92,airpods max,0,,2024-09-15T03:57:28+00:00
94a6c95c-b64b-4dad-badd-4879b2a6da83,27de1447-4949-4ba1-94da-511dcf33e97a,f7477da9-9ed6-506d-9e30-086f6501b423,textbook,0,,2024-09-17T06:10:20+00:00
3537157d-d978-4e0e-a18b-ad375b7f1d3d,b2934820-ad75-476f-ade6-054a7c89f295,e1b6dfe7-c5cf-5f9d-91bd-295819be76e6,vacuum,17,,2024-09-18T17:32:29+00:00
5e73aaf4-a957-4777-87f7-9ebaad435656,d34b2b4a-bc0b-4ffd-83db-00f5cc6c937f,90b84e38-59aa-588f-8436-ec93c733399f,sofa,28,,2024-10-16T09:08:50+00:00
ed768acb-f82b-48a4-ad3c-4c149562bbaa,b9468cb9-ed1b-40fe-a021-2f6da1f2925d,8e27856e-0eb0-5ebf-a362-61d530c170a9,laptop,2,,2024-09-10T02:01:10+00:00
3b754d4d-6559-4f75-9b43-cb146bed66bc,bc9cbd74-f51e-47e9-ba77-1f2c017e9cca,bb4c9af2-ac1d-522a-8ef0-26b0cdc2e337,monitor,17,,2024-12-01T19:25:56+00:00
db6bf7df-eacf-41e7-aad2-7115d4b7eee5,57d2ea34-ccda-48c1-82da-d0d973b20d87,1e0fcef6-a42f-5b57-916c-9cf88faa14e9,yoga mat,8,cc99ed97-3886-473e-b8f1-b982e2b91b84,2024-10-24T13:58:55+00:00
2fb6b36c-93eb-4088-8aa6-7d72b91b950a,10e5f889-8510-460a-b274-ff42a4b2a3e9,fb91f6d4-3460-5739-ac54-7371e72a03e8,standing desk,15,,2024-10-30T23:48:56+00:00
f01d9463-9292-41a6-bd4b-db66544612c8,6e62d7bb-6bda-4ea0-82c5-87c508932975,08a5e557-1da4-528d-a154-a198bdbe34f9,cat,0,,2024-10-22T18:29:51+00:00
00686e4a-962b-4576-9176-15924d45fb06,71938832-5c59-49e3-be85-9acbd7ca55ba,5ff7c256-2d2e-5aa8-8de8-dbe1524715f0,boots,15,,2024-10-23T03:41:24+00:00
358ff18f-128f-4446-b9ec-ee5f00e9b9a1,5ca23f6e-524f-449e-b9d2-a758e70cff73,95db4e68-33d6-59c1-936f-2f5a4c869f7d,laptop,2,c837e9d4-2f2b-4ddb-b418-5aeace9f4e22,2024-09-29T06:50:57+00:00
bbc057b8-6a68-4877-a703-76f573d59f51,27de1447-4949-4ba1-94da-511dcf33e97a,10f2ec0b-3697-5935-8f30-872cce855863,ikea desk,0,,2024-10-28T22:23:42+00:00
8923afce-cc59-4e20-b5b8-e2a28d6cc076,484b4933-21fa-4a46-904b-33017ff3857f,bfb5f314-2dce-5971-8462-f1bd0820e7c9,ps5,0,,2024-11-10T03:44:24+00:00
3a2c7382-15a0-471c-b990-04f7bacddcc2,bc9cbd74-f51e-47e9-ba77-1f2c017e9cca,bb4c9af2-ac1d-522a-8ef0-26b0cdc2e337,kitchen,2,,2024-12-01T19:29:32+00:00
51ad181a-3dd4-4757-81b1-311a4b22df37,e33923d4-ae33-4f20-93b4-4927825fa9f9,8698ee16-cae7-5e65-8cdb-42320a14e21c,standing desk,15,,2024-12-04T22:25:18+00:00
f7a084b9-5392-4919-b0d1-d2859ef8ccec,b2934820-ad75-476f-ade6-054a7c89f295,2a07bbcc-50b2-57d1-8296-a9a3f5469a8f,mini fridge,5,,2024-12-11T07:09:16+00:00
6bf7525f-6f50-462d-91cd-a547ac3635b5,27de1447-4949-4ba1-94da-511dcf33e97a,ece3e67d-a0be-55b9-af01-b523d76e20c8,ikea desk,0,,2024-11-26T18:20:55+00:00
495b07fc-a325-4c77-bd22-6369fba105e4,51910d94-7df2-4595-be53-5b43cb379762,56da914a-ac07-51c8-83f5-13c3d4251a02,desk,83,,2024-11-13T10:38:04+00:00
8d62e20b-14da-4d3c-83dc-f03d02fe1f0c,6236d33d-7b57-486d-81e8-a247d50fa2a4,2dc41c67-b981-53be-979c-ecf4b1255e06,printer,0,,2024-12-15T13:07:16+00:00
346313a2-2a5d-4310-800b-cf6cd952e162,dd31032b-6dd2-426d-bfc1-f03e9f5eefa1,6d7b3ced-0aee-51c6-8974-e1213817cd05,microwave,4,5af3b4d7-8eda-46c2-ba32-d081cca3ff07,2024-12-26T01:43:03+00:00
17071d13-f4f9-43c8-8c32-83c2b5e04f46,5d717b99-735c-4981-87a3-225adde8acea,b7828eac-4018-521a-aacd-b5a03246f8f1,desk,83,,2024-12-11T03:39:17+00:00
5c21c12a-8a85-4c04-924c-71108221ac8e,6eaf2004-a475-4bbd-b327-ceb492d267a7,7ecc545f-a173-575d-bf5d-51b9b50d4683,desk,83,,2025-02-25T16:11:17+00:00
af700694-34a2-4f25-85f0-82ad8daf18ce,53cbc155-02f5-409e-90b8-e1d1b8a42be9,7114bdd2-c709-56bd-89b3-54a66ae74449,bookshelf,0,,2025-01-06T09:22:11+00:00
ebb33198-fd3d-46da-82e4-9ebaaea1e2f1,8c0f035c-ed24-4e92-9e38-7d7562011845,7e95bd01-3378-5fce-a36a-0bc3b717eb41,free,16,6a10f71d-606f-44a3-ab06-dd38c18f0272,2024-12-13T20:44:38+00:00
4d7fc4d8-f28f-4181-96c9-563d88b451f3,659f0acc-033d-4e42-acb5-b569fa69a743,bc0a702c-2a47-5dce-bd97-4750f66c398b,vacuum,17,,2024-12-31T04:47:14+00:00
e12ec40e-d5e6-438e-9931-7c0f480ff970,6eaf2004-a475-4bbd-b327-ceb492d267a7,7ecc545f-a173-575d-bf5d-51b9b50d4683,rice cooker,5,,2025-02-25T16:19:14+00:00
59bf8643-bef7-49be-bb76-cc39383f8d9e,6eaf2004-a475-4bbd-b327-ceb492d267a7,7ecc545f-a173-575d-bf5d-51b9b50d4683,iphone 15,0,,2025-02-25T16:10:13+00:00
97e456b9-f931-4ad1-9902-480aa036002f,e7f25965-2024-4c9f-a575-caa1e7bc13df,653bb1e4-55b9-5e53-a1ea-1c01310947bb,guitar,0,,2024-11-29T18:24:12+00:00
f4ffd822-388f-4e03-9128-ebb389898d7d,bacf1c32-002e-4d62-8c6c-221609513f2f,22b59a72-9a09-5733-b374-6920332ae9b7,textbook,0,,2025-01-11T10:21:01+00:00
eb9d3f07-1020-4b05-ac3c-57ff667e19a7,be814268-912b-47b4-8181-c0ede2b04826,79513510-26f5-583f-82fe-5059713116a8,kettle,13,,2025-02-20T01:41:31+00:00
3af8b6fe-5d53-440c-9c4c-5641af650838,6236d33d-7b57-486d-81e8-a247d50fa2a4,f9c4c16f-6796-5835-853d-41a13cd2bfbc,concert tickets,0,,2025-02-08T07:00:31+00:00
897039db-fd9c-44e0-bfdf-471413773d96,7926d7b2-835c-4a6f-bf2f-3e38d4db3419,ca7ad69b-0d1b-5856-9694-3d789a554518,apartment,0,,2025-02-11T19:08:53+00:00
2ad944c4-19c0-4076-92ab-d251f85cf7fa,a83115e6-95d7-4710-8785-ad490862eb1d,b8c9376d-76ec-59bd-8798-7e68e486212a,free,16,,2025-01-15T03:31:35+00:00
