id,listing_id,viewer_id,surface,viewed_at,badges_shown,session_id
15f7fd0a-53e4-4b50-b664-7735e3e52505,a952b715-e955-4b90-b084-76606e06168c,27de1447-4949-4ba1-94da-511dcf33e97a,detail,2024-08-23T03:23:52+00:00,false,8cf60b21-50a9-5cbb-9b05-c3601b945eaf
9ce6a799-22e0-4e1b-add7-3c56fa27eab9,a952b715-e955-4b90-b084-76606e06168c,27de1447-4949-4ba1-94da-511dcf33e97a,feed,2024-08-22T17:18:52+00:00,true,ef991638-5b51-5b3b-b458-85e235a08b01
0ed9cf0b-74d1-4961-b486-e04bed75c098,a952b715-e955-4b90-b084-76606e06168c,e0ac1371-730b-4fd6-8af4-80859ee0ade7,feed,2024-08-29T05:53:52+00:00,true,ded90dae-c4dd-5004-a442-b5f7b284092f
efb6b07d-92db-4aca-b9c4-167f2f0fa83b,a952b715-e955-4b90-b084-76606e06168c,27de1447-4949-4ba1-94da-511dcf33e97a,feed,2024-08-24T14:40:11+00:00,false,feb707be-c8cd-532f-bb85-98f274c8fee2
6d3152a4-66a5-4fa6-89dd-1bad03411372,a952b715-e955-4b90-b084-76606e06168c,e67d37fe-aa3a-4812-8a3a-0cad3700d22f,feed,2024-08-23T19:44:21+00:00,true,67eec09b-f078-53bb-b0cd-956973f19738
b2d1f786-37bc-47a6-993b-0d8f5bf59c2d,a952b715-e955-4b90-b084-76606e06168c,27de1447-4949-4ba1-94da-511dcf33e97a,search,2024-08-22T12:56:35+00:00,false,72d22185-7d7c-511a-9e8d-51fad13e7d93
8b05b175-9399-4873-aebc-2fdadf550ef6,a952b715-e955-4b90-b084-76606e06168c,04ef5bae-6f20-43c1-84c2-80053a99d1b1,feed,2024-08-25T11:44:44+00:00,true,34cb5060-8c1d-5adf-9537-00e65025e2b4
55c8ed5c-b428-45ef-837e-59a9aa1723a8,a952b715-e955-4b90-b084-76606e06168c,27de1447-4949-4ba1-94da-511dcf33e97a,detail,2024-08-27T22:29:18+00:00,false,6ddf0fc0-52c2-5345-b199-eb4726bd9114
2e4341be-be67-4e7b-9419-80be101d7120,a952b715-e955-4b90-b084-76606e06168c,10e5f889-8510-460a-b274-ff42a4b2a3e9,feed,2024-08-25T04:14:56+00:00,true,24ffd808-4e72-573d-b14a-ebbe22fa1423
071f3bdd-f743-4d2d-a9a1-d01f483c2c7c,a952b715-e955-4b90-b084-76606e06168c,e67d37fe-aa3a-4812-8a3a-0cad3700d22f,detail,2024-08-26T03:00:11+00:00,true,ca0c8bd4-33a4-576d-9c8f-c63b55fb3c90
